Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
2020-01-02,14:00:00,No data,,7.4,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),9.8,V ugm-3 (TEOM FDMS),,,2.9,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (FIDAS),5.428,V ugm-3 (Ref.eq),,,9.025,V ugm-3 (FIDAS),4.693,V ugm-3 (Ref.eq),0.311499,V mgm-3,14.3,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (TEOM FDMS),0.148436,V mgm-3,9.925,V ugm-3 (FIDAS),5.142,V ugm-3 (Ref.eq),9.5,V ugm-3 (FIDAS),5.165,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-02,15:00:00,No data,,6.6,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),,,3.3,V ugm-3 (TEOM FDMS),10.234,V ugm-3 (FIDAS),5.43,V ugm-3 (Ref.eq),,,10.475,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),0.311499,V mgm-3,17.6,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.65,V ugm-3 (FIDAS),5.354,V ugm-3 (Ref.eq),11.05,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-02,16:00:00,No data,,4.8,V ugm-3 (TEOM FDMS),13.6,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),,,2.4,V ugm-3 (TEOM FDMS),10.14,V ugm-3 (FIDAS),5.207,V ugm-3 (Ref.eq),,,11.7,V ugm-3 (FIDAS),5.66,V ugm-3 (Ref.eq),0.283181,V mgm-3,14.1,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),0.097016,V mgm-3,11.525,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),11.65,V ugm-3 (FIDAS),5.519,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-02,17:00:00,No data,,5.8,V ugm-3 (TEOM FDMS),10.4,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),,,6.1,V ugm-3 (TEOM FDMS),8.055,V ugm-3 (FIDAS),4.217,V ugm-3 (Ref.eq),,,12,V ugm-3 (FIDAS),5.849,V ugm-3 (Ref.eq),0.29734,V mgm-3,15.4,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),0.107689,V mgm-3,10.05,V ugm-3 (FIDAS),5.259,V ugm-3 (Ref.eq),8.875,V ugm-3 (FIDAS),4.552,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-02,18:00:00,No data,,9.5,V ugm-3 (TEOM FDMS),11.8,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),,,3.2,V ugm-3 (TEOM FDMS),4.909,V ugm-3 (FIDAS),3.207,V ugm-3 (Ref.eq),,,9.35,V ugm-3 (FIDAS),5.142,V ugm-3 (Ref.eq),0.246368,V mgm-3,17.3,V ugm-3 (TEOM FDMS),7.5,V ugm-3 (TEOM FDMS),0.130973,V mgm-3,7.425,V ugm-3 (FIDAS),4.41,V ugm-3 (Ref.eq),6.525,V ugm-3 (FIDAS),3.561,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-02,19:00:00,No data,,5.1,V ugm-3 (TEOM FDMS),11.1,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),,,4.5,V ugm-3 (TEOM FDMS),3.969,V ugm-3 (FIDAS),2.923,V ugm-3 (Ref.eq),,,7.35,V ugm-3 (FIDAS),3.962,V ugm-3 (Ref.eq),0.263358,V mgm-3,15.3,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),0.145525,V mgm-3,7.05,V ugm-3 (FIDAS),4.08,V ugm-3 (Ref.eq),5.65,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-02,20:00:00,No data,,5.9,V ugm-3 (TEOM FDMS),10.9,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),,,4.5,V ugm-3 (TEOM FDMS),6.745,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),,,5.7,V ugm-3 (FIDAS),3.609,V ugm-3 (Ref.eq),0.175572,V mgm-3,12.9,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),0.136794,V mgm-3,7.1,V ugm-3 (FIDAS),4.41,V ugm-3 (Ref.eq),6.75,V ugm-3 (FIDAS),3.915,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-02,21:00:00,No data,,5.2,V ugm-3 (TEOM FDMS),11.7,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),,,7.8,V ugm-3 (TEOM FDMS),7.231,V ugm-3 (FIDAS),4.812,V ugm-3 (Ref.eq),,,8.375,V ugm-3 (FIDAS),4.835,V ugm-3 (Ref.eq),0.240704,V mgm-3,22.9,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),0.130973,V mgm-3,8.5,V ugm-3 (FIDAS),5.165,V ugm-3 (Ref.eq),8.675,V ugm-3 (FIDAS),4.859,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-02,22:00:00,No data,,5.2,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),,,4.8,V ugm-3 (TEOM FDMS),7.539,V ugm-3 (FIDAS),4.94,V ugm-3 (Ref.eq),,,8.925,V ugm-3 (FIDAS),5.354,V ugm-3 (Ref.eq),0.212386,V mgm-3,17.3,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),0.119331,V mgm-3,8,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),8.925,V ugm-3 (FIDAS),4.906,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-02,23:00:00,No data,,5.6,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),8.6,V ugm-3 (TEOM FDMS),,,4,V ugm-3 (TEOM FDMS),11.843,V ugm-3 (FIDAS),7.321,V ugm-3 (Ref.eq),,,10.35,V ugm-3 (FIDAS),6.274,V ugm-3 (Ref.eq),0.118936,V mgm-3,14.4,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),0.122241,V mgm-3,11.025,V ugm-3 (FIDAS),6.297,V ugm-3 (Ref.eq),11.875,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2020-01-02,24:00:00,No data,,5.7,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),,,3.8,V ugm-3 (TEOM FDMS),8.961,V ugm-3 (FIDAS),5.886,V ugm-3 (Ref.eq),,,10.7,V ugm-3 (FIDAS),6.014,V ugm-3 (Ref.eq),0.087787,V mgm-3,14.6,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),0.119331,V mgm-3,10.975,V ugm-3 (FIDAS),6.226,V ugm-3 (Ref.eq),10.45,V ugm-3 (FIDAS),5.896,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-03,01:00:00,No data,,7.3,V ugm-3 (TEOM FDMS),12.1,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),,,3,V ugm-3 (TEOM FDMS),7.217,V ugm-3 (FIDAS),5.209,V ugm-3 (Ref.eq),,,10.25,V ugm-3 (FIDAS),6.344,V ugm-3 (Ref.eq),No data,V mgm-3,13,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),0.116455,V mgm-3,9.1,V ugm-3 (FIDAS),5.825,V ugm-3 (Ref.eq),8.775,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-03,02:00:00,No data,,5.5,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),,,3.4,V ugm-3 (TEOM FDMS),5.552,V ugm-3 (FIDAS),4.091,V ugm-3 (Ref.eq),,,7.8,V ugm-3 (FIDAS),4.929,V ugm-3 (Ref.eq),0.165683,V mgm-3,10.8,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),0.116455,V mgm-3,7.225,V ugm-3 (FIDAS),4.811,V ugm-3 (Ref.eq),6.75,V ugm-3 (FIDAS),4.458,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-03,03:00:00,No data,,6.2,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),,,4.2,V ugm-3 (TEOM FDMS),6.412,V ugm-3 (FIDAS),4.53,V ugm-3 (Ref.eq),,,8.25,V ugm-3 (FIDAS),5.401,V ugm-3 (Ref.eq),0.118613,V mgm-3,8.9,V ugm-3 (TEOM FDMS),2.4,V ugm-3 (TEOM FDMS),0.113543,V mgm-3,8.45,V ugm-3 (FIDAS),5.259,V ugm-3 (Ref.eq),9.15,V ugm-3 (FIDAS),5.401,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-01-03,04:00:00,No data,,5,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),1.7,V ugm-3 (TEOM FDMS),,,2.3,V ugm-3 (TEOM FDMS),3.629,V ugm-3 (FIDAS),2.652,V ugm-3 (Ref.eq),,,4.35,V ugm-3 (FIDAS),3.066,V ugm-3 (Ref.eq),0.110141,V mgm-3,3.7,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),0.113543,V mgm-3,4.625,V ugm-3 (FIDAS),3.09,V ugm-3 (Ref.eq),3.5,V ugm-3 (FIDAS),2.099,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-01-03,05:00:00,No data,,3.5,V ugm-3 (TEOM FDMS),3.8,V ugm-3 (TEOM FDMS),1.2,V ugm-3 (TEOM FDMS),,,1.9,V ugm-3 (TEOM FDMS),2.115,V ugm-3 (FIDAS),1.07,V ugm-3 (Ref.eq),,,2.9,V ugm-3 (FIDAS),1.934,V ugm-3 (Ref.eq),0.064955,V mgm-3,4,V ugm-3 (TEOM FDMS),0.2,V ugm-3 (TEOM FDMS),0.113543,V mgm-3,2.175,V ugm-3 (FIDAS),1.297,V ugm-3 (Ref.eq),2.3,V ugm-3 (FIDAS),1.297,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-01-03,06:00:00,No data,,1.9,V ugm-3 (TEOM FDMS),3.3,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),,,1.6,V ugm-3 (TEOM FDMS),1.933,V ugm-3 (FIDAS),0.956,V ugm-3 (Ref.eq),,,1.525,V ugm-3 (FIDAS),0.92,V ugm-3 (Ref.eq),0.152503,V mgm-3,3.5,V ugm-3 (TEOM FDMS),3.3,V ugm-3 (TEOM FDMS),0.110632,V mgm-3,1.85,V ugm-3 (FIDAS),0.967,V ugm-3 (Ref.eq),1.85,V ugm-3 (FIDAS),0.92,V ugm-3 (Ref.eq),2,V ugm-3 (BAM)
2020-01-03,07:00:00,No data,,2.2,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),0.2,V ugm-3 (TEOM FDMS),,,2.2,V ugm-3 (TEOM FDMS),2.187,V ugm-3 (FIDAS),1.132,V ugm-3 (Ref.eq),,,1.75,V ugm-3 (FIDAS),0.92,V ugm-3 (Ref.eq),0.242875,V mgm-3,6.2,V ugm-3 (TEOM FDMS),1.5,V ugm-3 (TEOM FDMS),0.131011,V mgm-3,1.525,V ugm-3 (FIDAS),0.92,V ugm-3 (Ref.eq),1.725,V ugm-3 (FIDAS),0.991,V ugm-3 (Ref.eq),1,V ugm-3 (BAM)
2020-01-03,08:00:00,No data,,2.8,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),,,1.4,V ugm-3 (TEOM FDMS),3.296,V ugm-3 (FIDAS),1.657,V ugm-3 (Ref.eq),,,2.95,V ugm-3 (FIDAS),1.462,V ugm-3 (Ref.eq),0.336072,V mgm-3,9.8,V ugm-3 (TEOM FDMS),2.8,V ugm-3 (TEOM FDMS),0.154302,V mgm-3,2.35,V ugm-3 (FIDAS),1.321,V ugm-3 (Ref.eq),3.325,V ugm-3 (FIDAS),1.981,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-03,09:00:00,No data,,4.2,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),1.5,V ugm-3 (TEOM FDMS),,,0.6,V ugm-3 (TEOM FDMS),3.429,V ugm-3 (FIDAS),2.413,V ugm-3 (Ref.eq),,,5.2,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),0.409499,V mgm-3,7.3,V ugm-3 (TEOM FDMS),3.4,V ugm-3 (TEOM FDMS),0.157214,V mgm-3,3.15,V ugm-3 (FIDAS),1.934,V ugm-3 (Ref.eq),5,V ugm-3 (FIDAS),2.642,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-03,10:00:00,No data,,4,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),1.7,V ugm-3 (TEOM FDMS),,,3.1,V ugm-3 (TEOM FDMS),5.31,V ugm-3 (FIDAS),2.879,V ugm-3 (Ref.eq),,,4.175,V ugm-3 (FIDAS),2.429,V ugm-3 (Ref.eq),0.237228,V mgm-3,3.7,V ugm-3 (TEOM FDMS),-0.2,V ugm-3 (TEOM FDMS),0.154302,V mgm-3,3.9,V ugm-3 (FIDAS),2.241,V ugm-3 (Ref.eq),4.15,V ugm-3 (FIDAS),2.264,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-03,11:00:00,No data,,5.1,V ugm-3 (TEOM FDMS),12.4,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),,,3.7,V ugm-3 (TEOM FDMS),10.29,V ugm-3 (FIDAS),5.943,V ugm-3 (Ref.eq),,,7.325,V ugm-3 (FIDAS),4.387,V ugm-3 (Ref.eq),0.231579,V mgm-3,10.9,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),0.110632,V mgm-3,9.725,V ugm-3 (FIDAS),5.66,V ugm-3 (Ref.eq),9.95,V ugm-3 (FIDAS),5.495,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-03,12:00:00,No data,,5.9,V ugm-3 (TEOM FDMS),12.2,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),,,5,V ugm-3 (TEOM FDMS),9.704,V ugm-3 (FIDAS),5.5,V ugm-3 (Ref.eq),,,10.25,V ugm-3 (FIDAS),5.825,V ugm-3 (Ref.eq),0.302182,V mgm-3,12,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),0.101898,V mgm-3,11,V ugm-3 (FIDAS),5.991,V ugm-3 (Ref.eq),9.925,V ugm-3 (FIDAS),5.542,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-03,13:00:00,No data,,6.9,V ugm-3 (TEOM FDMS),10.1,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),,,4.6,V ugm-3 (TEOM FDMS),9.937,V ugm-3 (FIDAS),5.029,V ugm-3 (Ref.eq),,,9.625,V ugm-3 (FIDAS),5.825,V ugm-3 (Ref.eq),0.3276,V mgm-3,9.9,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),0.098986,V mgm-3,8.3,V ugm-3 (FIDAS),4.434,V ugm-3 (Ref.eq),8.525,V ugm-3 (FIDAS),4.811,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-03,14:00:00,No data,,4.7,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),,,3.7,V ugm-3 (TEOM FDMS),10.53,V ugm-3 (FIDAS),5.388,V ugm-3 (Ref.eq),,,5.925,V ugm-3 (FIDAS),3.42,V ugm-3 (Ref.eq),0.364313,V mgm-3,9,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),0.084429,V mgm-3,8.175,V ugm-3 (FIDAS),4.693,V ugm-3 (Ref.eq),9.325,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-03,15:00:00,No data,,5.9,V ugm-3 (TEOM FDMS),12.1,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),,,2.7,V ugm-3 (TEOM FDMS),12.165,V ugm-3 (FIDAS),6.422,V ugm-3 (Ref.eq),,,9.1,V ugm-3 (FIDAS),4.976,V ugm-3 (Ref.eq),0.429268,V mgm-3,13.5,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),0.075695,V mgm-3,10.475,V ugm-3 (FIDAS),5.708,V ugm-3 (Ref.eq),11.3,V ugm-3 (FIDAS),5.943,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-03,16:00:00,No data,,5.8,V ugm-3 (TEOM FDMS),14.4,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),,,3.5,V ugm-3 (TEOM FDMS),14.518,V ugm-3 (FIDAS),6.872,V ugm-3 (Ref.eq),,,11.875,V ugm-3 (FIDAS),6.109,V ugm-3 (Ref.eq),0.434917,V mgm-3,13.1,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),0.093164,V mgm-3,12.225,V ugm-3 (FIDAS),6.368,V ugm-3 (Ref.eq),11.45,V ugm-3 (FIDAS),6.014,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2020-01-03,17:00:00,No data,,7.4,V ugm-3 (TEOM FDMS),14.3,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),,,5.6,V ugm-3 (TEOM FDMS),15.583,V ugm-3 (FIDAS),7.302,V ugm-3 (Ref.eq),,,12.475,V ugm-3 (FIDAS),6.769,V ugm-3 (Ref.eq),0.533761,V mgm-3,15.2,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),0.113543,V mgm-3,13.575,V ugm-3 (FIDAS),7.476,V ugm-3 (Ref.eq),13.5,V ugm-3 (FIDAS),7.311,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-03,18:00:00,No data,,7.1,V ugm-3 (TEOM FDMS),15.9,V ugm-3 (TEOM FDMS),7.5,V ugm-3 (TEOM FDMS),,,5.4,V ugm-3 (TEOM FDMS),18.9,V ugm-3 (FIDAS),10.934,V ugm-3 (Ref.eq),,,13.5,V ugm-3 (FIDAS),7.83,V ugm-3 (Ref.eq),0.626958,V mgm-3,17.9,V ugm-3 (TEOM FDMS),8.6,V ugm-3 (TEOM FDMS),0.160125,V mgm-3,15.975,V ugm-3 (FIDAS),9.009,V ugm-3 (Ref.eq),15.275,V ugm-3 (FIDAS),8.939,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
2020-01-03,19:00:00,No data,,7.8,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),9.7,V ugm-3 (TEOM FDMS),,,9.4,V ugm-3 (TEOM FDMS),14.698,V ugm-3 (FIDAS),7.871,V ugm-3 (Ref.eq),,,18.025,V ugm-3 (FIDAS),11.392,V ugm-3 (Ref.eq),0.804879,V mgm-3,23.1,V ugm-3 (TEOM FDMS),14.2,V ugm-3 (TEOM FDMS),0.19215,V mgm-3,16.325,V ugm-3 (FIDAS),9.08,V ugm-3 (Ref.eq),16.075,V ugm-3 (FIDAS),10.259,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-03,20:00:00,No data,,9.1,V ugm-3 (TEOM FDMS),17.3,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),,,12.3,V ugm-3 (TEOM FDMS),12.105,V ugm-3 (FIDAS),7.102,V ugm-3 (Ref.eq),,,19.1,V ugm-3 (FIDAS),11.981,V ugm-3 (Ref.eq),0.796406,V mgm-3,21.6,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),0.195061,V mgm-3,15.15,V ugm-3 (FIDAS),9.009,V ugm-3 (Ref.eq),13.625,V ugm-3 (FIDAS),8.396,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-03,21:00:00,No data,,9.4,V ugm-3 (TEOM FDMS),15.4,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),,,12.1,V ugm-3 (TEOM FDMS),14.013,V ugm-3 (FIDAS),7.906,V ugm-3 (Ref.eq),,,17.1,V ugm-3 (FIDAS),11.981,V ugm-3 (Ref.eq),0.666496,V mgm-3,19.8,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),0.163036,V mgm-3,13.8,V ugm-3 (FIDAS),8.514,V ugm-3 (Ref.eq),13.825,V ugm-3 (FIDAS),8.278,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
2020-01-03,22:00:00,No data,,12.4,V ugm-3 (TEOM FDMS),14.7,V ugm-3 (TEOM FDMS),5.8,V ugm-3 (TEOM FDMS),,,9.5,V ugm-3 (TEOM FDMS),14.263,V ugm-3 (FIDAS),7.749,V ugm-3 (Ref.eq),,,15.575,V ugm-3 (FIDAS),10.684,V ugm-3 (Ref.eq),0.584596,V mgm-3,16.3,V ugm-3 (TEOM FDMS),7.4,V ugm-3 (TEOM FDMS),0.14848,V mgm-3,15.1,V ugm-3 (FIDAS),8.679,V ugm-3 (Ref.eq),14.075,V ugm-3 (FIDAS),9.009,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-03,23:00:00,No data,,9.2,V ugm-3 (TEOM FDMS),14.1,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),,,10.5,V ugm-3 (TEOM FDMS),14.02,V ugm-3 (FIDAS),7.179,V ugm-3 (Ref.eq),,,14.775,V ugm-3 (FIDAS),9.151,V ugm-3 (Ref.eq),0.590245,V mgm-3,17.8,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),0.125189,V mgm-3,19.35,V ugm-3 (FIDAS),8.373,V ugm-3 (Ref.eq),12.25,V ugm-3 (FIDAS),7.453,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-03,24:00:00,No data,,11,V ugm-3 (TEOM FDMS),14.8,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),,,10.2,V ugm-3 (TEOM FDMS),12.848,V ugm-3 (FIDAS),7.009,V ugm-3 (Ref.eq),,,14.6,V ugm-3 (FIDAS),8.986,V ugm-3 (Ref.eq),0.516816,V mgm-3,14.7,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),0.101898,V mgm-3,17.875,V ugm-3 (FIDAS),7.665,V ugm-3 (Ref.eq),10.875,V ugm-3 (FIDAS),6.745,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2020-01-04,01:00:00,No data,,10,V ugm-3 (TEOM FDMS),11.3,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),,,5,V ugm-3 (TEOM FDMS),15.043,V ugm-3 (FIDAS),7.934,V ugm-3 (Ref.eq),,,13.125,V ugm-3 (FIDAS),8.019,V ugm-3 (Ref.eq),No data,V mgm-3,11.8,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),0.116489,V mgm-3,12.575,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),11.975,V ugm-3 (FIDAS),8.231,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-04,02:00:00,No data,,7.2,V ugm-3 (TEOM FDMS),15.4,V ugm-3 (TEOM FDMS),6.8,V ugm-3 (TEOM FDMS),,,4.7,V ugm-3 (TEOM FDMS),12.368,V ugm-3 (FIDAS),7.833,V ugm-3 (Ref.eq),,,11.675,V ugm-3 (FIDAS),6.863,V ugm-3 (Ref.eq),0.168988,V mgm-3,15.3,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),0.116489,V mgm-3,12.225,V ugm-3 (FIDAS),6.958,V ugm-3 (Ref.eq),10.625,V ugm-3 (FIDAS),6.651,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-04,03:00:00,No data,,4.5,V ugm-3 (TEOM FDMS),10.9,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),,,4,V ugm-3 (TEOM FDMS),11.78,V ugm-3 (FIDAS),6.835,V ugm-3 (Ref.eq),,,11.05,V ugm-3 (FIDAS),6.91,V ugm-3 (Ref.eq),0.174621,V mgm-3,12.3,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),0.119402,V mgm-3,12.35,V ugm-3 (FIDAS),6.958,V ugm-3 (Ref.eq),10.075,V ugm-3 (FIDAS),6.627,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2020-01-04,04:00:00,No data,,5.8,V ugm-3 (TEOM FDMS),12.6,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),,,3.5,V ugm-3 (TEOM FDMS),10.81,V ugm-3 (FIDAS),6.109,V ugm-3 (Ref.eq),,,10.2,V ugm-3 (FIDAS),6.368,V ugm-3 (Ref.eq),0.121108,V mgm-3,14,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),0.10484,V mgm-3,11.075,V ugm-3 (FIDAS),6.604,V ugm-3 (Ref.eq),10.325,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-04,05:00:00,No data,,5.5,V ugm-3 (TEOM FDMS),10.6,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),,,7.8,V ugm-3 (TEOM FDMS),9.536,V ugm-3 (FIDAS),5.488,V ugm-3 (Ref.eq),,,9.9,V ugm-3 (FIDAS),5.778,V ugm-3 (Ref.eq),0.090127,V mgm-3,11.5,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),0.101928,V mgm-3,10.5,V ugm-3 (FIDAS),6.368,V ugm-3 (Ref.eq),9.35,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-04,06:00:00,No data,,5.4,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),5.4,V ugm-3 (TEOM FDMS),,,5.8,V ugm-3 (TEOM FDMS),9.698,V ugm-3 (FIDAS),5.941,V ugm-3 (Ref.eq),,,8.975,V ugm-3 (FIDAS),5.024,V ugm-3 (Ref.eq),0.090127,V mgm-3,9.6,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),0.119402,V mgm-3,9.975,V ugm-3 (FIDAS),5.802,V ugm-3 (Ref.eq),8.95,V ugm-3 (FIDAS),5.212,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
